Index,x_m,y_m
740,-4.57E-05,-4.44E-05
741,-4.28E-05,-4.73E-05
742,-3.96E-05,-5.00E-05
743,-3.63E-05,-5.25E-05
744,-3.28E-05,-5.48E-05
745,-2.93E-05,-5.69E-05
746,-2.55E-05,-5.87E-05
747,-2.16E-05,-6.02E-05
748,-1.77E-05,-6.15E-05
749,-1.37E-05,-6.26E-05
750,-9.63E-06,-6.34E-05
751,-5.50E-06,-6.39E-05
752,-1.33E-06,-6.42E-05
753,2.82E-06,-6.42E-05
754,6.96E-06,-6.39E-05
755,1.11E-05,-6.34E-05
756,1.52E-05,-6.26E-05
757,1.91E-05,-6.15E-05
758,2.31E-05,-6.02E-05
759,2.69E-05,-5.87E-05
760,3.06E-05,-5.68E-05
761,3.42E-05,-5.48E-05
762,3.77E-05,-5.25E-05
763,4.10E-05,-5.00E-05
764,4.41E-05,-4.73E-05
765,4.71E-05,-4.44E-05
766,4.99E-05,-4.14E-05
767,5.25E-05,-3.81E-05
768,5.48E-05,-3.47E-05
769,5.70E-05,-3.11E-05
770,5.89E-05,-2.74E-05
771,6.06E-05,-2.36E-05
772,6.20E-05,-1.97E-05
773,6.32E-05,-1.57E-05
774,6.41E-05,-1.17E-05
775,6.48E-05,-7.61E-06
776,6.52E-05,-3.46E-06
777,6.53E-05,6.68E-07
778,6.51E-05,4.82E-06
779,6.48E-05,8.96E-06
780,6.42E-05,1.31E-05
781,6.32E-05,1.71E-05
782,6.20E-05,2.11E-05
783,6.06E-05,2.50E-05
784,5.90E-05,2.88E-05
785,5.70E-05,3.25E-05
786,5.49E-05,3.60E-05
787,5.26E-05,3.95E-05
788,5.00E-05,4.27E-05
789,4.72E-05,4.58E-05
790,4.42E-05,4.87E-05
791,4.11E-05,5.15E-05
792,3.78E-05,5.41E-05
793,3.44E-05,5.63E-05
794,3.08E-05,5.84E-05
795,2.71E-05,6.03E-05
796,2.33E-05,6.20E-05
797,1.93E-05,6.33E-05
798,1.53E-05,6.44E-05
799,1.13E-05,6.53E-05
800,7.15E-06,6.59E-05
801,3.02E-06,6.63E-05
802,-1.11E-06,6.63E-05
803,-5.24E-06,6.62E-05
804,-9.37E-06,6.58E-05
805,-1.35E-05,6.51E-05
806,-1.75E-05,6.42E-05
807,-2.15E-05,6.30E-05
808,-2.54E-05,6.16E-05
809,-2.92E-05,5.99E-05
810,-3.29E-05,5.80E-05
811,-3.65E-05,5.59E-05
812,-3.99E-05,5.35E-05
813,-4.32E-05,5.10E-05
814,-4.63E-05,4.82E-05
815,-4.92E-05,4.53E-05
816,-5.20E-05,4.22E-05
817,-5.45E-05,3.89E-05
818,-5.68E-05,3.55E-05
819,-5.90E-05,3.19E-05
820,-6.09E-05,2.83E-05
